customer_id,age,salary_net_income,social_security_net_income,self_employed_net_income,salary_frequency,months_current_job,total_experience_months,current_bankruptcy_status,ever_bankrupt,loan_id,loan_amount,interest_rate,tenure,tenure_type,fee,recurring_payment_amount,total_due,no_of_days_since_last_payment,missed_payments,on_time_payments,penalty,current_due,current_delinquent,current_default,past_collection_success,past_delinquencies,credit_score,past_to_be_collected,past_collection_amount,collectibility_score,refinance,extended_payment_plan,settlement_plans_with_waive_off,accepted_option,promised_to_pay,promised_to_pay_status,expected_collection_amount
C12,27,3858,0,0,weekly,13.0,14.0,False,False,1011,2384,17.25,17,weekly,100,144.46,2555.82,21,3,3,445.71,2568.15,True,False,True,16,440,8838,936,52.28,True,False,False,Refinance,No,Partially kept,936.0
C13,28,1058,0,1442,monthly,4.0,10.0,False,False,1012,2911,19.41,20,biweekly,100,157.23,3244.6,57,4,0,1849.42,5094.02,True,False,,11,405,0,0,34.48,False,False,False,Refinance,,,951.93
C14,68,0,1863,1521,,,,False,False,1013,1265,27.07,10,monthly,100,142.72,1527.2,229,7,2,1117.58,2359.34,True,True,True,13,484,7382,4560,60.25,True,False,False,Refinance,No,Partially kept,4560.0
C15,99,939,0,0,weekly,28.0,106.0,False,False,1014,1972,11.92,15,monthly,100,142.15,2232.25,257,8,4,1497.28,3160.93,True,True,True,16,323,3023,105,33.35,False,True,True,Extended_payment_plan,No,Partially kept,105.0
C16,92,4419,0,0,biweekly,58.0,648.0,False,False,1015,2135,27.54,14,weekly,100,158.63,2320.82,66,9,5,1008.26,2535.93,True,False,,18,691,0,0,81.27,False,False,False,Refinance,,,1360.1
C17,67,3218,0,0,monthly,30.0,47.0,False,False,1016,4766,18.15,24,monthly,100,238.28,5818.72,88,2,15,1975.18,4219.7,True,False,,0,631,0,0,53.63,False,False,False,Refinance,,,1427.81
C18,91,3151,0,0,monthly,8.0,126.0,False,False,1017,2678,13.27,23,weekly,100,120.03,2860.69,82,11,3,2050.49,4551.09,True,False,False,0,846,7051,0,57.13,True,False,False,Refinance,No,not kept,0.0
C19,56,3623,0,0,monthly,12.0,276.0,False,False,1018,1960,24.22,25,biweekly,100,88.25,2306.25,103,7,12,1122.53,2369.78,True,True,False,18,822,3027,0,62.42,False,True,False,Extended_payment_plan,No,not kept,0.0
C20,50,4682,0,0,biweekly,69.0,234.0,False,False,1019,730,13.48,14,weekly,50,53.16,794.24,80,11,1,592.86,1333.94,True,False,,18,721,0,0,80.44,False,False,False,Refinance,,,2031.82
C21,81,778,0,0,weekly,88.0,475.0,False,False,1020,2742,21.59,12,monthly,100,256.1,3173.2,112,3,3,2164.41,4569.31,True,True,,11,621,0,0,40.49,False,False,False,Refinance,,,1105.06
C22,36,691,0,3295,biweekly,9.0,175.0,False,False,1021,2692,17.8,8,monthly,100,359.35,2974.8,52,1,5,612.59,1790.64,True,False,,6,368,0,0,64.93,False,False,False,Refinance,,,1361.6
C23,35,1542,0,0,biweekly,4.0,41.0,True,True,1022,892,15.32,21,monthly,50,48.69,1072.49,10,0,19,14.74,162.12,False,False,False,1,348,3300,0,75.63,False,True,True,Settlement_plans_with_waive_off,No,not kept,0.0
C24,95,3278,0,4030,biweekly,26.0,898.0,False,False,1023,422,29.76,19,biweekly,50,24.84,521.96,210,15,1,447.41,944.53,True,True,True,12,626,820,590,74.13,True,False,False,Refinance,Yes,Partially kept,590.0
C25,21,3800,0,0,weekly,2.0,10.0,False,False,1024,1581,16.62,25,biweekly,100,68.63,1815.75,35,2,17,227.16,876.2,True,False,,6,500,0,0,67.79,False,False,False,Refinance,,,1478.25
C26,51,1886,0,0,monthly,70.0,85.0,False,False,1025,126,20.8,13,weekly,50,9.97,179.61,38,5,0,68.25,247.86,True,False,False,15,405,2521,0,67.09,False,True,False,Extended_payment_plan,Yes,not kept,0.0
C27,84,2599,0,0,biweekly,20.0,430.0,False,False,1026,3978,20.75,11,biweekly,100,379.18,4270.98,138,9,2,3161.36,6673.98,True,True,False,11,779,7813,0,36.68,True,False,False,Refinance,Yes,not kept,0.0
C28,66,1438,0,0,weekly,2.0,6.0,False,False,1027,5000,18.2,6,weekly,100,843.57,5161.42,29,4,0,1496.81,6658.23,True,False,True,8,756,5663,13,14.96,True,False,False,Refinance,No,Partially kept,13.0
C29,74,3100,0,0,monthly,5.0,565.0,False,False,1028,4519,28.56,17,biweekly,100,292.87,5078.79,219,15,2,4043.75,8536.8,True,True,True,9,536,1597,229,37.59,True,False,True,Settlement_plans_with_waive_off,No,Partially kept,229.0
C30,72,2945,0,0,weekly,62.0,290.0,False,False,1029,2157,21.61,13,weekly,100,170.79,2320.27,80,11,2,1582.95,3561.64,True,False,True,11,525,2910,1666,60.97,True,True,False,Extended_payment_plan,Yes,Partially kept,1666.0
C31,59,1090,0,2459,biweekly,37.0,250.0,False,False,1030,1658,21.99,23,monthly,100,88.99,2146.77,524,17,6,1451.55,3064.38,True,True,False,3,763,939,0,65.27,True,False,True,Refinance,Yes,not kept,0.0
C32,97,3684,0,1277,monthly,52.0,129.0,False,False,1031,2637,19.19,15,monthly,100,199.12,3086.8,67,2,12,467.23,1164.59,True,False,False,14,672,4689,0,70.66,False,False,True,Settlement_plans_with_waive_off,No,not kept,0.0
C33,89,0,1911,4819,,,,False,False,1032,4440,13.25,15,monthly,100,322.82,4942.3,162,5,0,4448.07,9390.37,True,True,,12,585,0,0,54.08,False,False,False,Refinance,,,878.97
C34,67,999,0,369,weekly,20.0,87.0,False,False,1033,1351,10.31,25,weekly,100,55.44,1486.0,137,19,4,1137.82,2402.06,True,True,,11,365,0,0,46.88,False,False,False,Refinance,,,1177.74
C35,64,4510,0,167,biweekly,39.0,205.0,False,False,1034,272,20.63,16,biweekly,50,18.17,340.72,176,12,1,290.3,612.85,True,True,,17,308,0,0,74.67,False,False,False,Refinance,,,1384.34
C36,37,4329,0,0,weekly,26.0,138.0,False,False,1035,3620,19.52,21,weekly,100,179.59,3871.39,5,0,0,193.57,4064.96,False,False,True,18,565,7953,7804,61.61,True,False,False,Refinance,No,Partially kept,7804.0
C37,30,4107,0,0,monthly,24.0,124.0,False,False,1036,2253,12.64,8,biweekly,100,287.82,2402.56,61,4,2,1114.42,2941.34,True,False,False,0,698,6756,0,77.54,True,True,False,Extended_payment_plan,Yes,not kept,0.0
C38,32,0,1398,0,,,,False,False,1037,2742,11.9,20,weekly,100,140.42,2908.4,117,16,3,2238.43,4725.57,True,True,,8,614,0,0,27.67,False,False,False,Refinance,,,994.27
C39,90,4817,0,0,monthly,58.0,416.0,False,False,1038,1283,20.25,17,monthly,100,87.44,1586.48,161,5,0,1427.83,3014.31,True,True,False,8,816,8901,0,71.39,False,True,False,Extended_payment_plan,No,not kept,0.0
C40,32,1449,0,0,weekly,0.0,12.0,False,False,1039,2471,21.63,12,monthly,100,230.83,2869.96,150,5,1,2375.22,5014.35,True,True,,4,476,0,0,30.05,False,False,False,Refinance,,,954.83
C41,55,4500,0,3235,monthly,18.0,164.0,False,False,1040,535,27.57,18,monthly,50,36.63,709.34,428,14,0,638.41,1347.75,True,True,False,4,371,425,0,62.89,False,True,False,Extended_payment_plan,Yes,not kept,0.0
C42,84,2781,0,0,weekly,69.0,587.0,False,False,1041,4234,17.24,7,weekly,100,612.91,4390.37,23,3,3,586.88,3138.52,True,False,False,0,729,1317,0,57.18,False,True,False,Extended_payment_plan,No,not kept,0.0
C43,76,2795,0,0,biweekly,1.0,80.0,False,False,1042,4357,17.11,13,weekly,100,342.92,4557.96,64,9,1,2697.63,6912.67,True,False,,16,571,0,0,35.53,False,False,False,Refinance,,,1029.62
C44,33,0,2535,4905,,,,False,False,1043,238,14.41,8,monthly,50,31.38,301.04,116,3,1,242.69,512.35,True,True,False,4,511,7638,0,60.83,True,True,True,Settlement_plans_with_waive_off,Yes,not kept,0.0
C45,89,4986,0,0,monthly,66.0,745.0,False,False,1044,3641,20.29,15,weekly,100,250.38,3855.7,3,0,12,25.53,876.67,False,False,True,1,740,4908,1679,89.54,True,False,False,Refinance,Yes,Partially kept,1679.0
C46,40,2365,0,0,weekly,0.0,2.0,False,False,1045,2757,10.75,22,biweekly,100,131.36,2989.92,279,19,3,2336.26,4932.1,True,True,False,17,697,7143,0,31.19,True,True,True,Refinance,No,not kept,0.0
C47,42,0,3395,0,,,,False,False,1046,460,25.96,23,weekly,50,21.22,538.06,0,0,9,0.0,347.08,False,False,False,15,748,2351,0,71.32,False,True,True,Extended_payment_plan,Yes,not kept,0.0
C48,48,1561,0,0,weekly,40.0,200.0,False,False,1047,1578,24.95,12,weekly,100,135.64,1727.68,5,0,2,72.82,1529.22,False,False,True,0,420,3261,2327,81.48,False,True,True,Settlement_plans_with_waive_off,No,Partially kept,2327.0
C49,23,1490,0,0,weekly,24.0,24.0,False,False,1048,3775,11.95,9,weekly,100,424.28,3918.52,49,7,2,1504.28,4574.24,True,False,True,18,588,3410,2597,29.78,False,True,True,Settlement_plans_with_waive_off,No,Partially kept,2597.0
C50,68,2626,0,0,monthly,10.0,97.0,False,True,1049,2448,18.65,14,biweekly,100,184.41,2681.74,13,0,11,84.92,738.15,False,False,True,5,755,1037,376,62.81,False,False,True,Settlement_plans_with_waive_off,No,Partially kept,376.0
C51,40,2575,0,2283,weekly,103.0,141.0,False,False,1050,3218,10.08,18,monthly,100,193.38,3580.84,32,1,7,712.7,2939.88,True,False,False,19,530,6610,0,67.89,True,False,False,Refinance,No,not kept,0.0
C52,85,2909,0,1160,biweekly,18.0,752.0,False,False,1051,4176,19.2,24,biweekly,100,190.51,4672.24,175,12,1,4033.56,8515.29,True,True,False,5,636,5875,0,43.85,False,True,False,Extended_payment_plan,Yes,not kept,0.0
C53,26,3574,0,3086,monthly,1.0,1.0,False,False,1052,572,19.24,23,weekly,50,25.99,647.77,101,14,3,512.82,1082.62,True,True,True,17,769,8400,5526,57.75,False,True,False,Extended_payment_plan,Yes,Partially kept,5526.0
C54,76,1204,0,0,monthly,69.0,292.0,False,False,1053,385,10.05,18,weekly,50,21.78,442.04,98,14,4,319.43,674.35,True,True,False,12,630,7483,0,74.84,False,False,True,Settlement_plans_with_waive_off,No,not kept,0.0
C55,85,0,1349,0,,,,False,False,1054,1584,27.46,6,weekly,100,268.9,1713.4,34,4,1,491.13,1935.63,True,False,False,1,738,1048,0,32.21,True,True,True,Refinance,No,not kept,0.0
C56,78,0,3025,0,,,,False,False,1055,1241,29.1,23,monthly,100,71.03,1733.69,103,3,11,857.12,1809.48,True,True,,12,357,0,0,61.99,False,False,False,Refinance,,,1501.23
C57,45,0,1834,0,,,,False,False,1056,1563,26.6,14,biweekly,100,120.4,1785.6,25,1,4,326.0,1630.0,True,False,,1,845,0,0,55.43,False,False,False,Refinance,,,789.46
C58,53,3440,0,0,biweekly,14.0,346.0,False,False,1057,3227,26.84,21,monthly,100,194.25,4179.25,186,6,8,2362.72,4987.97,True,True,False,4,511,4131,0,45.8,True,False,False,Refinance,Yes,not kept,0.0
C59,84,0,877,0,,,,False,False,1058,2615,10.12,8,weekly,100,329.74,2737.92,22,3,3,384.71,2133.41,True,False,False,17,510,7806,0,21.08,False,True,False,Extended_payment_plan,No,not kept,0.0
C60,91,2470,0,0,monthly,43.0,688.0,False,False,1059,3039,12.01,8,monthly,100,397.18,3277.44,236,7,0,2949.7,6227.14,True,True,,10,676,0,0,53.16,False,False,False,Refinance,,,975.03
C61,89,0,4773,0,,,,False,False,1060,4699,15.24,23,monthly,100,236.88,5548.24,455,15,3,4353.84,9191.44,True,True,,17,590,0,0,37.88,False,False,False,Refinance,,,1655.25
C62,32,0,1729,0,,,,False,False,1061,1631,16.18,22,weekly,100,76.82,1790.04,93,13,1,1541.9,3255.12,True,True,,4,547,0,0,39.19,False,False,False,Refinance,,,943.4
C63,61,1153,0,0,biweekly,48.0,48.0,False,False,1062,2212,12.86,24,weekly,100,95.04,2380.96,8,1,10,114.44,1545.0,True,False,False,4,421,4447,0,37.15,True,False,False,Refinance,No,not kept,0.0
C64,63,1875,0,0,weekly,2.0,53.0,False,False,1063,4262,12.54,20,weekly,100,218.54,4470.8,140,20,0,4023.72,8494.52,True,True,,15,467,0,0,28.33,False,False,False,Settlement_plans_with_waive_off,,,1028.26
C65,48,0,4601,3729,,,,False,False,1064,213,25.51,11,biweekly,50,20.52,275.72,64,4,7,84.53,216.61,True,False,True,19,442,9721,9493,69.62,False,False,True,Settlement_plans_with_waive_off,No,Partially kept,9493.0
C66,39,2792,0,4782,weekly,25.0,112.0,False,False,1065,4803,17.56,8,monthly,100,640.58,5224.64,47,1,1,2154.51,6738.57,True,False,False,18,435,5580,0,56.15,True,True,False,Extended_payment_plan,No,not kept,0.0
C67,35,0,4966,0,,,,False,False,1066,4715,11.51,19,weekly,100,253.69,4920.11,107,15,0,4428.1,9348.21,True,True,False,5,571,2612,0,35.62,True,True,False,Refinance,Yes,not kept,0.0
C68,95,0,3375,1572,,,,False,False,1067,1365,26.07,15,biweekly,100,98.47,1577.05,113,8,1,1330.72,2809.3,True,True,False,0,457,8613,0,69.16,False,True,False,Extended_payment_plan,No,not kept,0.0
C69,35,4994,0,0,weekly,90.0,185.0,False,False,1068,4788,11.52,23,weekly,100,213.75,5016.25,45,6,3,1968.75,6343.75,True,False,False,7,435,4052,0,50.14,True,False,False,Refinance,No,not kept,0.0
C70,91,2959,0,0,monthly,17.0,774.0,False,False,1069,305,29.62,20,monthly,50,19.51,440.2,340,11,0,396.18,836.38,True,True,False,17,551,5806,0,65.98,False,False,True,Settlement_plans_with_waive_off,No,not kept,0.0
C71,79,569,0,0,weekly,33.0,686.0,False,False,1070,706,11.97,13,weekly,50,55.19,767.47,19,2,7,72.42,453.56,True,False,,5,699,0,0,59.98,False,False,False,Refinance,,,1263.74
C72,81,2242,0,0,monthly,16.0,533.0,False,False,1071,2866,11.55,24,monthly,100,134.31,3323.44,166,5,10,1782.31,3762.65,True,True,False,18,687,471,0,47.53,True,False,False,Refinance,No,not kept,0.0
C73,52,3730,0,0,biweekly,3.0,343.0,False,False,1072,3763,29.37,16,weekly,100,246.64,4046.24,10,1,3,330.63,3636.95,True,False,False,6,715,1642,0,50.46,True,True,True,Extended_payment_plan,Yes,not kept,0.0
C74,24,1919,0,0,biweekly,21.0,40.0,False,False,1073,4809,19.13,7,monthly,100,731.5,5220.5,15,0,1,673.35,5162.35,False,False,True,9,515,336,43,38.1,True,False,False,Refinance,Yes,Partially kept,43.0
C75,39,1061,0,0,weekly,75.0,222.0,False,False,1074,2553,29.31,14,biweekly,100,198.15,2874.1,126,9,5,1695.02,3578.37,True,True,,0,560,0,0,51.53,False,False,False,Refinance,,,937.55
C76,42,4056,0,4276,biweekly,51.0,60.0,False,False,1075,241,19.34,9,biweekly,50,27.78,300.02,40,2,6,53.34,186.68,True,False,True,11,381,5799,1210,71.91,True,False,False,Refinance,No,Partially kept,1210.0
C77,78,2517,0,2221,weekly,55.0,71.0,False,False,1076,2386,10.18,22,biweekly,100,113.4,2594.8,241,17,5,1825.02,3852.82,True,True,,15,735,0,0,70.7,False,False,False,Refinance,,,1852.89
C78,82,924,0,0,biweekly,189.0,408.0,False,False,1077,1954,15.51,22,monthly,100,102.61,2357.42,96,3,7,1475.24,3114.39,True,True,,0,582,0,0,63.13,False,False,False,Refinance,,,1376.74
C79,33,1171,0,0,monthly,1.0,53.0,False,False,1078,882,19.37,16,biweekly,50,58.68,988.88,77,5,6,490.34,1127.14,True,False,False,11,785,5882,0,46.8,True,True,True,Extended_payment_plan,Yes,not kept,0.0
C80,99,0,3689,0,,,,False,False,1079,179,14.11,23,weekly,50,8.04,234.92,115,16,6,168.01,354.69,True,True,,17,333,0,0,61.86,False,False,False,Refinance,,,1339.22
C81,38,1215,0,0,weekly,35.0,83.0,False,False,1080,525,10.91,11,biweekly,50,48.94,588.34,19,1,4,74.59,467.17,True,False,,15,664,0,0,79.81,False,False,False,Refinance,,,1425.83
C82,58,0,1356,0,,,,False,False,1081,1429,29.88,18,monthly,100,99.47,1890.46,107,3,8,985.23,2079.93,True,True,True,16,595,2325,55,35.31,True,True,True,Refinance,Yes,Partially kept,55.0
C83,41,4231,0,0,weekly,47.0,49.0,False,False,1082,4945,14.37,11,monthly,100,482.49,5407.39,317,10,1,4432.41,9357.31,True,True,,3,496,0,0,46.05,False,False,False,Refinance,,,1294.94
C84,77,0,2910,0,,,,False,False,1083,2599,29.43,20,monthly,100,165.97,3419.4,597,19,1,2928.09,6181.52,True,True,True,18,333,3379,2414,36.81,False,True,True,Extended_payment_plan,Yes,Partially kept,2414.0
C85,59,1987,0,0,weekly,38.0,398.0,False,False,1084,4844,25.15,12,monthly,100,460.75,5629.0,242,8,3,3822.08,8068.83,True,True,True,1,772,4523,1460,41.03,False,True,True,Extended_payment_plan,Yes,Partially kept,1460.0
C86,32,3427,0,0,weekly,16.0,79.0,False,False,1085,3219,11.49,25,biweekly,100,136.29,3507.25,255,18,3,2788.54,5886.92,True,True,True,6,438,1173,616,45.88,True,True,True,Refinance,No,Partially kept,616.0
C87,25,2852,0,0,monthly,14.0,28.0,False,False,1086,3332,20.57,9,monthly,100,402.67,3724.03,71,2,3,1786.37,4302.39,True,False,False,13,323,6767,0,35.46,True,True,True,Extended_payment_plan,Yes,not kept,0.0
C88,98,4591,0,1396,biweekly,6.0,18.0,False,False,1087,1538,11.07,14,weekly,100,111.62,1662.68,53,7,4,644.59,1860.79,True,False,False,12,730,1336,0,63.91,True,True,True,Settlement_plans_with_waive_off,Yes,not kept,0.0
C89,45,3595,0,0,biweekly,60.0,74.0,False,False,1088,190,10.94,13,monthly,50,15.57,252.41,202,6,0,227.17,479.58,True,True,True,2,448,5073,25,73.35,True,False,False,Refinance,Yes,Partially kept,25.0
C90,21,2403,0,0,biweekly,0.0,24.0,False,False,1089,4253,27.11,10,weekly,100,437.59,4475.9,4,0,10,4.0,104.0,False,False,True,2,775,2527,884,45.19,True,True,False,Refinance,Yes,Partially kept,884.0
C91,41,0,1699,4340,,,,False,False,1090,4201,23.26,25,biweekly,100,188.28,4807.0,210,15,9,2801.23,5913.71,True,True,False,10,552,1624,0,41.81,True,True,False,Refinance,Yes,not kept,0.0
C92,48,0,3417,0,,,,False,False,1091,850,17.02,11,weekly,50,78.8,916.8,57,8,3,387.83,1068.23,True,False,,13,386,0,0,64.79,False,False,False,Refinance,,,1401.69
C93,69,3968,0,0,biweekly,137.0,436.0,False,False,1092,4942,27.88,11,monthly,100,514.3,5757.3,273,9,0,5181.57,10938.87,True,True,False,6,352,5843,0,48.05,True,False,False,Refinance,No,not kept,0.0
C94,42,4207,0,0,monthly,65.0,274.0,False,False,1093,2831,22.59,12,biweekly,100,249.45,3093.4,151,10,2,2335.05,4929.55,True,True,True,19,661,8665,3026,61.63,True,True,False,Extended_payment_plan,Yes,Partially kept,3026.0
C95,41,2975,0,0,biweekly,20.0,81.0,False,False,1094,3618,13.08,11,biweekly,100,338.92,3828.12,39,2,5,832.07,2965.59,True,False,True,1,595,8142,5718,54.6,True,True,False,Refinance,No,Partially kept,5718.0
C96,58,0,4120,0,,,,False,False,1095,1087,11.15,25,monthly,100,48.93,1323.25,128,4,11,706.52,1491.54,True,True,,12,626,0,0,67.19,False,False,False,Refinance,,,1345.03
C97,34,3308,0,0,biweekly,0.0,5.0,False,False,1096,1594,29.52,19,monthly,100,106.03,2114.57,443,14,0,1903.11,4017.68,True,True,True,5,613,5136,2055,54.16,True,False,False,Refinance,No,Partially kept,2055.0
C98,63,1225,0,3929,biweekly,58.0,454.0,True,True,1097,4454,29.99,20,weekly,100,236.43,4828.6,128,18,0,4345.74,9174.34,True,True,True,14,642,3132,1133,51.2,False,True,False,Extended_payment_plan,Yes,Partially kept,1133.0
C99,69,1767,0,0,monthly,4.0,304.0,False,False,1098,4425,10.45,11,weekly,100,407.14,4578.54,10,1,4,295.0,3244.98,True,False,True,5,615,8091,2871,38.39,True,False,True,Refinance,No,Partially kept,2871.0
C100,20,3867,0,0,weekly,9.0,12.0,False,False,1099,2663,27.45,21,monthly,100,161.11,3483.31,299,9,1,2989.98,6312.18,True,True,,13,534,0,0,45.98,False,False,False,Refinance,,,1060.86
C101,88,2382,0,0,weekly,85.0,476.0,False,False,1100,2028,17.48,12,weekly,100,172.72,2172.64,8,1,9,49.45,667.61,True,False,False,9,682,5205,0,63.69,False,True,True,Settlement_plans_with_waive_off,No,not kept,0.0
C102,19,681,0,0,monthly,1.0,7.0,False,False,1101,4028,15.6,24,monthly,100,196.45,4814.8,485,16,0,4333.32,9148.12,True,True,,18,716,0,0,14.37,False,False,False,Refinance,,,1377.55
C103,48,0,4656,691,,,,False,False,1102,751,10.65,16,biweekly,50,48.59,827.44,85,6,8,372.91,811.63,True,False,,12,757,0,0,70.63,False,False,False,Refinance,,,1502.77
C104,85,4074,0,3406,weekly,37.0,292.0,False,False,1103,1297,27.08,15,monthly,100,102.89,1643.35,393,13,1,1386.41,2926.87,True,True,False,10,756,6365,0,69.2,True,False,False,Refinance,No,not kept,0.0
C105,42,0,1173,0,,,,False,False,1104,1045,23.73,17,monthly,100,72.98,1340.66,305,10,5,878.18,1853.94,True,True,False,10,677,5186,0,37.62,False,False,True,Settlement_plans_with_waive_off,Yes,not kept,0.0
C106,93,4169,0,0,biweekly,13.0,332.0,False,False,1105,1206,13.32,6,monthly,100,208.88,1353.28,21,0,4,108.73,626.49,False,False,False,12,778,6273,0,89.66,True,True,False,Refinance,Yes,not kept,0.0
C107,58,1703,0,0,weekly,74.0,257.0,False,False,1106,4796,13.35,17,monthly,100,311.2,5390.4,289,9,7,2890.8,6102.8,True,True,,15,455,0,0,42.45,False,False,False,Refinance,,,846.19
C108,87,0,1229,0,,,,False,False,1107,760,15.74,15,biweekly,50,53.16,847.4,83,5,7,394.48,869.76,True,False,,6,577,0,0,59.12,False,False,False,Refinance,,,915.87
C109,48,1068,0,0,weekly,21.0,60.0,False,False,1108,1390,23.69,16,weekly,100,90.28,1544.48,104,14,1,1308.78,2762.98,True,True,True,19,844,2468,1678,38.11,True,True,False,Extended_payment_plan,No,Partially kept,1678.0
C110,95,0,1146,306,,,,False,False,1109,881,14.04,10,monthly,50,93.87,988.7,84,2,0,830.51,1819.21,True,False,,13,803,0,0,56.31,False,False,False,Refinance,,,1137.59
C111,56,4261,0,0,biweekly,295.0,313.0,False,False,1110,442,24.94,8,biweekly,50,57.66,511.28,45,3,5,100.34,323.32,True,False,True,17,486,5717,876,83.63,True,False,False,Refinance,Yes,Partially kept,876.0
C112,40,3252,0,0,weekly,85.0,149.0,False,False,1111,3373,19.74,14,monthly,100,271.7,3903.8,220,7,2,3024.36,6384.76,True,True,,18,642,0,0,53.09,False,False,False,Refinance,,,934.16
C113,73,3691,0,0,monthly,45.0,357.0,False,False,1112,2232,11.49,11,monthly,100,214.75,2462.25,43,1,2,874.08,2906.83,True,False,False,18,783,4272,0,71.14,False,True,True,Extended_payment_plan,No,not kept,0.0
C114,24,1971,0,0,monthly,1.0,2.0,False,False,1113,1757,18.55,20,biweekly,100,94.58,1991.6,8,0,20,8.0,108.0,False,False,False,11,847,3480,0,52.78,True,False,True,Settlement_plans_with_waive_off,No,not kept,0.0
C115,37,1657,0,0,weekly,25.0,68.0,False,False,1114,2816,16.49,15,monthly,100,209.03,3235.45,380,12,3,2347.52,4955.88,True,True,True,0,809,9619,6189,48.04,False,True,True,Settlement_plans_with_waive_off,No,Partially kept,6189.0
C116,33,0,3166,0,,,,False,False,1115,470,23.39,17,biweekly,50,29.94,558.98,151,10,2,449.19,948.29,True,True,,5,660,0,0,62.77,False,False,False,Refinance,,,885.17
C117,97,3520,0,0,biweekly,66.0,363.0,False,False,1116,4560,15.62,10,monthly,100,489.28,4992.8,189,6,0,4493.52,9486.32,True,True,True,16,749,6562,849,43.59,False,True,True,Extended_payment_plan,No,Partially kept,849.0
C118,43,4323,0,1948,monthly,29.0,135.0,False,False,1117,282,16.56,25,biweekly,50,12.24,356.0,105,7,5,265.32,560.12,True,True,True,15,464,9538,3980,65.93,True,True,True,Extended_payment_plan,No,Partially kept,3980.0
C119,32,2022,0,568,biweekly,61.0,144.0,False,False,1118,238,21.23,9,biweekly,50,27.54,297.86,81,5,2,196.65,439.43,True,False,True,9,348,4980,1988,72.51,True,False,True,Refinance,No,Partially kept,1988.0
C120,44,1053,0,0,weekly,28.0,154.0,False,False,1119,2903,23.54,7,weekly,100,422.26,3055.82,39,5,1,1027.09,3660.65,True,False,True,15,417,1429,559,26.25,False,False,True,Settlement_plans_with_waive_off,No,Partially kept,559.0
C121,49,2766,0,0,weekly,84.0,159.0,False,False,1120,1497,23.18,21,biweekly,100,78.48,1748.08,112,8,0,1573.27,3321.35,True,True,,1,624,0,0,73.97,False,False,False,Refinance,,,1122.06
