Customer_ID,Age,Salary_Net_Income,Social_security_net_income,Self_employed_net_income,Salary_frequency,Months_current_job,Total_experience_months,Current_Bankruptcy_status,Ever_Bankrupt,Loan_ID,Loan_Amount,Interest_rate,Tenure,Tenure_type,Fee,Recurring_payment_amount,Total_Due,No_of_days_since_last_payment,Missed_payments,On_time_payments,Penalty,Current_due,Current_delinquent,Current_default,Past_Collection_Success,Past_delinquencies,Credit_Score,Past_to_be_collected,Past_Collection_amount,Refinance,Extended_payment_plan,Settlement_plans_with_waive_off,Accepted_option,Promised_to_pay,Promised_to_pay_status
C11,22,1520,0,0,weekly,17.0,40.0,False,False,1010,2490,25.9,20,monthly,100,154.62,3192.4,378,12,5,2177.37,4596.67,True,True,N/A,8,306,0,0,False,False,False,N/A,N/A,N/A
C12,86,2702,0,0,monthly,81.0,695.0,False,False,1011,399,27.82,24,monthly,50,21.86,574.64,362,12,3,458.15,967.21,True,True,N/A,14,684,0,0,False,False,False,N/A,N/A,N/A
C13,40,3933,0,0,monthly,70.0,262.0,False,False,1012,1672,16.82,13,weekly,100,131.55,1810.15,49,7,5,564.68,1717.08,True,False,False,18,759,5704,0,True,True,True,Settlement_plans_with_waive_off,Yes,not kept
C14,84,1662,0,0,biweekly,19.0,46.0,False,False,1013,2790,16.66,23,weekly,100,126.02,2998.46,45,6,8,895.64,2885.94,True,False,N/A,14,829,0,0,False,False,False,N/A,N/A,N/A
C15,19,3107,0,0,weekly,4.0,7.0,False,False,1014,4561,21.92,20,biweekly,100,248.77,5075.4,27,1,14,430.01,2022.63,True,False,N/A,7,427,0,0,False,False,False,N/A,N/A,N/A
C16,50,1792,0,0,biweekly,19.0,302.0,False,False,1015,3381,11.9,7,weekly,100,487.43,3512.01,39,5,2,989.49,3526.64,True,False,True,15,659,1980,1874,True,False,True,Refinance,No,Partially kept
C17,38,0,1331,0,,,,False,False,1016,4502,25.81,7,monthly,100,699.65,4997.55,83,2,5,1244.42,2743.72,True,False,N/A,2,374,0,0,False,False,False,N/A,N/A,N/A
C18,25,3244,0,0,biweekly,10.0,74.0,False,False,1017,3832,12.19,16,monthly,100,260.7,4271.2,69,2,0,2947.13,7218.33,True,False,True,9,626,1467,557,False,True,False,Extended_payment_plan,Yes,Partially kept
C19,71,1107,0,0,monthly,50.0,503.0,False,False,1018,1433,11.7,18,monthly,100,87.19,1669.42,98,3,8,874.71,1846.61,True,True,N/A,12,380,0,0,False,False,False,N/A,N/A,N/A
C20,20,0,2905,0,,,,False,False,1019,424,17.47,21,monthly,50,23.58,545.18,378,12,2,448.22,946.24,True,True,True,18,310,3986,751,True,False,True,Settlement_plans_with_waive_off,No,Partially kept
C21,51,2686,0,0,weekly,20.0,21.0,False,False,1020,4004,11.76,9,biweekly,100,455.01,4195.09,47,3,4,1116.27,3491.32,True,False,N/A,18,418,0,0,False,False,False,N/A,N/A,N/A
C22,23,2348,0,0,biweekly,29.0,58.0,False,False,1021,2033,18.78,12,weekly,100,173.42,2181.04,61,8,1,1224.65,3232.27,True,False,N/A,5,462,0,0,False,False,False,N/A,N/A,N/A
C23,94,2521,0,4569,biweekly,68.0,836.0,False,False,1022,3130,20.75,16,monthly,100,225.61,3709.76,189,6,3,2729.64,5762.57,True,True,False,7,783,5807,0,False,True,True,Settlement_plans_with_waive_off,Yes,not kept
C24,72,4613,0,0,biweekly,2.0,352.0,False,False,1023,761,13.32,16,monthly,50,52.17,884.72,26,0,1,216.46,1049.01,False,False,N/A,1,613,0,0,False,False,False,N/A,N/A,N/A
C25,88,0,1760,0,,,,False,False,1024,1265,10.96,7,weekly,100,182.24,1375.68,39,5,2,394.37,1405.57,True,False,N/A,4,585,0,0,False,False,False,N/A,N/A,N/A
C26,100,0,905,2839,,,,False,False,1025,4518,24.15,10,biweekly,100,475.2,4852.0,137,9,1,3939.12,8315.92,True,True,False,19,760,5842,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C27,33,956,0,0,weekly,14.0,33.0,False,False,1026,4372,13.96,10,weekly,100,443.68,4536.8,3,0,5,69.55,2387.95,False,False,False,15,576,4539,0,True,True,False,Extended_payment_plan,Yes,not kept
C28,89,0,1942,504,,,,False,True,1027,488,13.39,12,monthly,50,43.68,574.16,217,7,5,320.18,675.94,True,True,True,10,759,3765,1463,True,True,True,Settlement_plans_with_waive_off,No,Partially kept
C29,50,858,0,0,monthly,88.0,134.0,False,False,1028,3917,27.33,20,weekly,100,206.84,4236.8,49,7,5,1569.27,4771.87,True,False,N/A,10,839,0,0,False,False,False,N/A,N/A,N/A
C30,76,4600,0,3688,monthly,40.0,603.0,False,False,1029,897,11.02,10,monthly,50,94.29,992.9,102,3,4,554.17,1169.91,True,True,N/A,4,601,0,0,False,False,False,N/A,N/A,N/A
C31,69,944,0,0,monthly,29.0,75.0,False,False,1030,2584,10.3,11,weekly,100,237.71,2714.81,39,5,6,502.53,1791.08,True,False,False,2,540,4583,0,True,False,True,Settlement_plans_with_waive_off,Yes,not kept
C32,85,1219,0,0,monthly,141.0,321.0,False,True,1031,3568,13.71,20,monthly,100,200.57,4111.4,436,14,4,2978.21,6287.33,True,True,True,10,317,7913,6377,True,True,True,Settlement_plans_with_waive_off,Yes,Partially kept
C33,34,4500,0,2858,weekly,64.0,165.0,False,False,1032,1817,24.44,20,weekly,100,95.4,2008.0,136,19,0,1807.2,3815.2,True,True,True,10,716,8712,1832,False,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C34,89,690,0,0,biweekly,99.0,101.0,True,True,1033,1952,19.34,14,weekly,100,143.35,2106.9,41,5,7,452.41,1555.86,True,False,N/A,19,602,0,0,False,False,False,N/A,N/A,N/A
C35,93,1392,0,0,monthly,78.0,310.0,False,False,1034,1016,14.27,6,weekly,100,170.96,1125.76,18,2,1,171.86,1126.66,True,False,True,10,488,6669,2526,False,True,False,Extended_payment_plan,Yes,Partially kept
C36,88,0,1599,0,,,,False,False,1035,4551,29.51,12,weekly,100,393.38,4820.56,6,0,9,76.81,1356.95,False,False,True,18,502,366,285,True,False,False,Refinance,Yes,Partially kept
C37,98,1200,0,2672,monthly,49.0,509.0,False,False,1036,215,14.66,19,biweekly,50,11.96,277.24,59,4,4,135.35,364.75,True,False,False,8,610,6159,0,True,True,True,Settlement_plans_with_waive_off,No,not kept
C38,27,0,1170,0,,,,False,False,1037,3901,22.9,15,weekly,100,269.32,4139.8,67,9,3,2232.33,5564.17,True,False,N/A,17,796,0,0,False,False,False,N/A,N/A,N/A
C39,48,0,3073,332,,,,False,False,1038,4843,18.66,22,monthly,100,261.62,5855.64,385,12,10,2915.5,6154.94,True,True,N/A,13,791,0,0,False,False,False,N/A,N/A,N/A
C40,89,0,2944,0,,,,False,False,1039,2472,21.45,24,monthly,100,127.57,3161.68,33,1,21,159.29,642.0,True,False,False,7,361,6054,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C41,99,1979,0,0,monthly,27.0,220.0,False,False,1040,2915,11.11,20,weekly,100,149.04,3080.8,31,4,9,539.23,2278.67,True,False,N/A,4,390,0,0,False,False,False,N/A,N/A,N/A
C42,63,4596,0,632,monthly,51.0,537.0,False,False,1041,3107,19.82,13,weekly,100,245.43,3290.59,30,4,5,619.03,2682.47,True,False,N/A,15,511,0,0,False,False,False,N/A,N/A,N/A
C43,51,2091,0,0,biweekly,7.0,57.0,False,False,1042,660,28.41,6,biweekly,50,114.24,735.44,77,5,1,478.32,1099.52,True,False,False,3,693,9535,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C44,96,0,4937,1756,,,,False,False,1043,4438,19.03,25,weekly,100,186.09,4752.25,140,20,2,3942.06,8322.13,True,True,True,19,684,4831,4465,False,True,True,Extended_payment_plan,No,Partially kept
C45,59,2004,0,0,weekly,4.0,125.0,False,False,1044,4885,15.2,22,biweekly,100,237.28,5320.16,148,10,0,4788.14,10108.3,True,True,False,9,365,1293,0,True,False,False,Refinance,No,not kept
C46,38,3576,0,0,weekly,9.0,183.0,False,False,1045,3396,27.6,21,monthly,100,205.72,4420.12,609,20,1,3792.96,8007.36,True,True,False,7,783,8841,0,False,True,True,Extended_payment_plan,Yes,not kept
C47,66,3109,0,0,weekly,34.0,376.0,False,False,1046,3519,23.02,11,monthly,100,357.9,4036.9,132,4,7,1378.44,2910.04,True,True,N/A,4,742,0,0,False,False,False,N/A,N/A,N/A
C48,96,1059,0,0,monthly,65.0,124.0,False,False,1047,2402,12.88,20,weekly,100,123.25,2565.0,113,16,3,1975.72,4170.97,True,True,False,9,469,8546,0,True,False,False,Refinance,No,not kept
C49,73,0,2410,0,,,,False,False,1048,4869,29.66,6,biweekly,100,844.21,5165.26,16,1,5,151.07,1095.28,True,False,N/A,0,795,0,0,False,False,False,N/A,N/A,N/A
C50,97,0,1312,2305,,,,False,False,1049,4414,17.91,6,monthly,100,774.57,4747.42,168,5,1,3575.56,7548.41,True,True,False,12,840,4225,0,False,True,True,Extended_payment_plan,No,not kept
C51,73,3144,0,0,monthly,75.0,200.0,False,False,1050,1726,13.56,12,weekly,100,146.28,1855.36,53,7,1,905.81,2614.89,True,False,N/A,2,641,0,0,False,False,False,N/A,N/A,N/A
C52,45,2059,0,0,weekly,8.0,42.0,False,True,1051,497,25.31,18,biweekly,50,30.23,594.14,202,14,4,425.9,899.12,True,True,N/A,3,345,0,0,False,False,False,N/A,N/A,N/A
C53,61,1712,0,0,weekly,92.0,309.0,False,False,1052,1507,15.17,10,monthly,100,161.38,1713.8,103,3,1,1397.18,2949.6,True,True,N/A,17,827,0,0,False,False,False,N/A,N/A,N/A
C54,40,3840,0,0,biweekly,82.0,165.0,False,False,1053,1828,21.63,14,biweekly,100,138.86,2044.04,23,1,9,182.69,976.99,True,False,N/A,2,515,0,0,False,False,False,N/A,N/A,N/A
C55,90,1034,0,0,weekly,10.0,30.0,False,False,1054,1558,14.66,22,monthly,100,81.19,1886.18,372,12,7,1186.06,2503.91,True,True,False,1,736,1202,0,True,False,True,Refinance,No,not kept
C56,89,3235,0,0,biweekly,731.0,847.0,False,False,1055,3272,27.63,6,monthly,100,590.11,3640.66,98,3,2,2214.4,4674.84,True,True,True,12,349,6995,6742,True,True,False,Refinance,No,Partially kept
C57,25,3840,0,0,weekly,58.0,61.0,False,False,1056,2353,18.14,21,biweekly,100,120.85,2637.85,254,18,0,2374.06,5011.91,True,True,N/A,15,435,0,0,False,False,False,N/A,N/A,N/A
C58,58,0,2582,0,,,,False,False,1057,2209,24.44,24,weekly,100,97.55,2441.2,135,19,0,2197.08,4638.28,True,True,N/A,17,464,0,0,False,False,False,N/A,N/A,N/A
C59,83,0,4549,0,,,,False,False,1058,3612,22.62,12,weekly,100,309.58,3814.96,23,3,6,450.22,2407.7,True,False,False,4,327,3922,0,True,False,False,Refinance,No,not kept
C60,89,2707,0,0,biweekly,28.0,367.0,False,False,1059,2166,25.47,21,weekly,100,108.79,2384.59,88,12,1,2002.7,4278.5,True,False,True,7,594,3256,3,False,False,True,Settlement_plans_with_waive_off,No,Partially kept
C61,58,0,4328,0,,,,False,False,1060,2615,22.64,15,monthly,100,201.79,3126.85,350,11,3,2269.33,4790.81,True,True,True,2,692,6606,3304,False,False,True,Settlement_plans_with_waive_off,No,Partially kept
C62,94,4809,0,0,weekly,403.0,752.0,False,False,1061,3128,23.48,9,biweekly,100,363.44,3370.96,95,6,0,3033.86,6404.82,True,True,N/A,15,560,0,0,False,False,False,N/A,N/A,N/A
C63,63,2225,0,0,biweekly,154.0,201.0,False,False,1062,3747,15.23,21,monthly,100,204.38,4391.98,224,7,9,2297.3,4849.86,True,True,False,19,432,5645,0,True,False,False,Refinance,Yes,not kept
C64,96,4402,0,0,weekly,1.0,5.0,False,False,1063,1960,26.75,10,weekly,100,201.59,2115.9,9,1,1,172.29,2086.6,True,False,N/A,4,677,0,0,False,False,False,N/A,N/A,N/A
C65,31,1025,0,0,monthly,39.0,136.0,False,False,1064,4965,18.91,17,monthly,100,335.21,5798.57,463,15,1,4917.02,10380.38,True,True,False,8,639,1196,0,True,False,False,Refinance,No,not kept
C66,82,932,0,0,weekly,71.0,667.0,False,False,1065,2910,11.4,23,monthly,100,141.44,3353.12,233,7,11,1617.55,3414.83,True,True,False,5,681,7516,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C67,24,4329,0,0,biweekly,20.0,43.0,False,False,1066,4013,11.07,7,weekly,100,578.18,4147.26,6,0,2,179.45,3170.35,False,False,N/A,10,782,0,0,False,False,False,N/A,N/A,N/A
C68,45,2238,0,0,weekly,0.0,7.0,False,False,1067,1854,18.92,16,weekly,100,119.49,2011.84,61,8,3,1008.56,2661.93,True,False,False,10,409,8046,0,True,False,True,Refinance,No,not kept
C69,43,1570,0,0,monthly,86.0,135.0,False,False,1068,2035,25.59,22,weekly,100,97.82,2252.04,86,12,1,1852.63,4006.85,True,False,N/A,14,431,0,0,False,False,False,N/A,N/A,N/A
C70,28,4450,0,4010,monthly,42.0,103.0,False,False,1069,3961,13.1,18,weekly,100,225.36,4156.48,13,1,3,452.45,3932.85,True,False,True,15,391,4108,1584,False,True,False,Extended_payment_plan,Yes,Partially kept
C71,85,4125,0,0,monthly,29.0,101.0,False,False,1070,3430,19.95,14,biweekly,100,259.33,3730.62,141,10,2,2890.76,6102.72,True,True,N/A,14,603,0,0,False,False,False,N/A,N/A,N/A
C72,44,0,3260,0,,,,False,False,1071,3003,24.22,24,biweekly,100,140.21,3465.04,29,2,8,679.57,3022.93,True,False,True,13,411,5502,1642,False,True,False,Extended_payment_plan,Yes,Partially kept
C73,55,1636,0,0,biweekly,47.0,367.0,False,False,1072,1480,20.93,20,weekly,100,77.17,1643.4,36,5,15,174.91,660.76,True,False,True,3,756,5873,2591,True,False,False,Refinance,No,Partially kept
C74,54,2487,0,0,monthly,46.0,187.0,False,True,1073,4329,24.23,16,monthly,100,319.32,5209.12,83,2,13,878.11,1936.07,True,False,N/A,13,845,0,0,False,False,False,N/A,N/A,N/A
C75,65,4169,0,4816,biweekly,47.0,494.0,False,False,1074,3057,28.35,13,monthly,100,275.86,3686.18,296,9,1,3069.29,6479.61,True,True,False,0,451,8535,0,True,False,True,Refinance,No,not kept
C76,70,1569,0,0,weekly,68.0,402.0,False,False,1075,1112,15.71,20,biweekly,100,59.19,1283.8,36,2,2,419.55,1584.97,True,False,N/A,15,640,0,0,False,False,False,N/A,N/A,N/A
C77,32,0,3701,0,,,,False,False,1076,3146,19.37,15,monthly,100,237.83,3667.45,28,0,11,294.37,1345.69,False,False,N/A,11,767,0,0,False,False,False,N/A,N/A,N/A
C78,81,2055,0,3521,monthly,78.0,250.0,False,False,1077,1976,27.89,18,weekly,100,115.46,2178.28,45,6,9,512.61,1651.75,True,False,N/A,10,400,0,0,False,False,False,N/A,N/A,N/A
C79,95,3873,0,0,biweekly,35.0,576.0,False,False,1078,3935,11.4,7,monthly,100,583.71,4185.97,157,5,2,2716.7,5735.25,True,True,True,13,770,5260,3592,False,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C80,81,0,2701,3166,,,,False,False,1079,1619,23.07,16,weekly,100,105.05,1780.8,98,14,0,1602.72,3383.52,True,True,N/A,12,399,0,0,False,False,False,N/A,N/A,N/A
C81,91,3196,0,3867,monthly,6.0,421.0,False,False,1080,1186,25.41,18,monthly,100,79.93,1538.74,218,7,4,1097.12,2316.14,True,True,True,19,790,3615,2612,False,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C82,68,2402,0,0,biweekly,19.0,91.0,False,False,1081,4209,24.14,15,biweekly,100,301.89,4628.35,176,12,3,3350.41,7073.09,True,True,False,3,320,8323,0,True,False,True,Refinance,Yes,not kept
C83,28,4700,0,0,biweekly,3.0,10.0,False,False,1082,2442,28.52,22,biweekly,100,125.54,2861.88,231,16,2,2349.72,4960.52,True,True,False,9,803,7804,0,True,False,True,Refinance,No,not kept
C84,25,2869,0,0,monthly,31.0,41.0,False,True,1083,4276,20.55,8,weekly,100,544.05,4452.4,35,5,1,1367.92,5276.27,True,False,N/A,12,738,0,0,False,False,False,N/A,N/A,N/A
C85,79,4868,0,0,weekly,84.0,271.0,False,False,1084,3260,11.28,10,weekly,100,329.9,3399.0,40,5,2,1095.68,3834.88,True,False,N/A,5,322,0,0,False,False,False,N/A,N/A,N/A
C86,78,0,4636,3688,,,,False,False,1085,318,17.67,24,biweekly,50,14.4,395.6,30,2,13,62.52,270.92,True,False,N/A,8,577,0,0,False,False,False,N/A,N/A,N/A
C87,98,0,1557,2329,,,,False,False,1086,3543,28.55,18,biweekly,100,218.0,4024.0,190,13,5,2640.6,5574.6,True,True,False,11,492,8337,0,True,False,False,Refinance,No,not kept
C88,43,2520,0,466,weekly,77.0,206.0,False,False,1087,2077,16.09,16,monthly,100,145.1,2421.6,78,2,3,1549.31,3535.61,True,False,True,0,654,2786,1263,True,True,True,Extended_payment_plan,No,Partially kept
C89,76,3987,0,0,weekly,10.0,670.0,False,False,1088,693,26.37,12,weekly,50,59.67,766.04,57,8,0,436.64,1202.68,True,False,N/A,1,619,0,0,False,False,False,N/A,N/A,N/A
C90,67,2743,0,0,weekly,2.0,31.0,False,False,1089,1082,27.32,11,monthly,100,112.3,1335.3,145,4,2,999.63,2110.33,True,True,N/A,2,590,0,0,False,False,False,N/A,N/A,N/A
C91,96,3343,0,0,biweekly,29.0,817.0,False,False,1090,414,29.09,25,monthly,50,22.28,607.0,468,15,1,526.25,1110.97,True,True,N/A,14,304,0,0,False,False,False,N/A,N/A,N/A
C92,73,4734,0,1286,weekly,294.0,594.0,False,False,1091,4483,10.06,20,weekly,100,228.73,4674.6,82,11,2,3458.05,7675.19,True,False,True,9,772,3884,2400,True,False,False,Refinance,No,Partially kept
C93,22,2775,0,0,weekly,21.0,22.0,False,False,1092,3055,27.11,17,monthly,100,218.42,3813.14,291,9,2,3038.67,6414.97,True,True,N/A,1,793,0,0,False,False,False,N/A,N/A,N/A
C94,23,827,0,0,monthly,1.0,33.0,False,True,1093,4920,20.23,24,biweekly,100,225.53,5512.72,318,22,0,4961.45,10474.17,True,True,False,15,782,3326,0,False,True,True,Settlement_plans_with_waive_off,No,not kept
C95,23,1919,0,0,monthly,26.0,53.0,False,False,1094,129,24.9,12,weekly,50,11.09,183.08,65,9,2,104.58,265.48,True,False,True,8,483,2480,808,False,True,False,Extended_payment_plan,No,Partially kept
C96,33,0,3990,0,,,,False,False,1095,1599,12.96,21,weekly,100,78.25,1743.25,108,15,1,1498.5,3163.5,True,True,N/A,12,336,0,0,False,False,False,N/A,N/A,N/A
C97,47,3981,0,521,biweekly,57.0,87.0,False,False,1096,258,14.9,7,monthly,50,38.71,320.97,163,5,1,254.03,536.29,True,True,False,16,770,8580,0,True,False,False,Refinance,No,not kept
C98,82,1406,0,3324,biweekly,37.0,727.0,False,False,1097,4754,20.31,11,monthly,100,477.3,5350.3,323,10,1,4385.7,9258.7,True,True,N/A,16,688,0,0,False,False,False,N/A,N/A,N/A
C99,51,638,0,0,monthly,60.0,287.0,False,False,1098,3420,15.61,20,weekly,100,176.44,3628.8,117,16,0,3265.92,6894.72,True,True,True,13,380,9371,2277,True,False,True,Settlement_plans_with_waive_off,No,Partially kept
C100,84,0,1844,0,,,,False,False,1099,2802,28.2,20,biweekly,100,156.6,3232.0,129,9,4,2345.04,4950.64,True,True,False,9,642,930,0,True,True,False,Extended_payment_plan,Yes,not kept
C101,26,2279,0,3440,monthly,38.0,71.0,False,False,1100,1998,23.73,19,monthly,100,127.17,2516.23,182,6,4,1806.8,3814.35,True,True,True,19,363,8903,5174,False,False,True,Settlement_plans_with_waive_off,No,Partially kept
C102,48,3633,0,4255,monthly,55.0,201.0,False,False,1101,4159,12.11,11,weekly,100,383.39,4317.29,7,1,5,168.02,2568.36,False,False,False,15,698,5154,0,False,True,True,Extended_payment_plan,Yes,not kept
C103,96,1635,0,4619,biweekly,54.0,424.0,False,False,1102,3827,24.08,8,biweekly,100,498.53,4088.24,82,5,3,2125.97,4718.62,True,False,False,19,717,2738,0,False,False,True,Settlement_plans_with_waive_off,No,not kept
C104,90,3440,0,0,weekly,2.0,616.0,False,False,1103,3921,18.13,10,weekly,100,399.66,4096.6,45,6,0,1843.47,5940.07,True,False,True,14,467,4192,213,False,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C105,32,1670,0,0,biweekly,6.0,127.0,False,False,1104,4535,22.73,6,weekly,100,767.44,4704.64,18,2,4,294.28,1929.16,True,False,N/A,17,417,0,0,False,False,False,N/A,N/A,N/A
C106,100,0,3344,2720,,,,False,False,1105,1914,25.99,8,monthly,100,263.15,2205.2,236,7,1,1747.84,3689.89,True,True,False,5,615,1165,0,True,True,False,Refinance,Yes,not kept
C107,55,3101,0,977,biweekly,87.0,179.0,False,False,1106,586,23.29,8,monthly,50,79.79,688.32,234,7,0,619.49,1307.81,True,True,False,14,604,6707,0,False,True,False,Extended_payment_plan,Yes,not kept
C108,98,1462,0,4250,weekly,4.0,696.0,False,False,1107,262,15.32,18,biweekly,50,15.38,326.84,156,11,1,280.31,591.77,True,True,False,19,462,9754,0,False,True,False,Extended_payment_plan,No,not kept
C109,96,0,2302,4187,,,,False,False,1108,2844,11.97,17,monthly,100,182.71,3206.07,376,12,2,2556.58,5397.23,True,True,True,17,579,3788,1275,True,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C110,99,1691,0,0,biweekly,19.0,900.0,False,False,1109,1388,23.96,20,weekly,100,72.81,1556.2,43,6,14,230.85,767.71,True,False,False,17,584,8,0,True,True,True,Extended_payment_plan,Yes,not kept
C111,77,3043,0,0,biweekly,122.0,505.0,False,False,1110,2135,24.11,21,weekly,100,106.93,2345.53,95,13,1,2014.74,4253.34,True,True,False,17,550,860,0,True,False,True,Refinance,Yes,not kept
C112,37,4134,0,0,weekly,18.0,216.0,False,False,1111,772,19.0,19,biweekly,50,43.67,879.73,266,19,0,791.76,1671.49,True,True,N/A,5,710,0,0,False,False,False,N/A,N/A,N/A
C113,20,3090,0,1916,monthly,5.0,13.0,False,False,1112,4573,15.53,15,biweekly,100,319.64,4894.6,4,0,5,131.86,3428.26,False,False,True,8,530,6094,4791,True,False,False,Refinance,No,Partially kept
C114,39,1353,0,0,biweekly,54.0,197.0,False,False,1113,2537,17.22,15,biweekly,100,178.23,2773.45,169,12,0,2496.1,5269.55,True,True,True,1,556,1774,1661,True,False,True,Refinance,No,Partially kept
C115,70,2131,0,3274,weekly,67.0,541.0,False,False,1114,4870,23.2,9,biweekly,100,565.54,5189.86,93,6,2,3652.9,7711.68,True,True,False,0,347,9893,0,True,False,False,Refinance,Yes,not kept
C116,18,2403,0,2058,monthly,0.0,0.0,False,False,1115,513,22.18,7,monthly,50,78.8,601.6,204,6,1,470.52,993.32,True,True,False,13,417,7395,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C117,97,1961,0,0,biweekly,6.0,737.0,False,False,1116,4976,20.42,14,biweekly,100,376.72,5374.08,118,8,0,4836.67,10210.75,True,True,N/A,19,345,0,0,False,False,False,N/A,N/A,N/A
C118,63,580,0,0,weekly,7.0,469.0,False,False,1117,1883,16.19,9,monthly,100,223.59,2112.31,202,6,2,1498.62,3163.75,True,True,True,2,305,6035,640,True,False,True,Settlement_plans_with_waive_off,Yes,Partially kept
C119,40,1903,0,0,biweekly,0.0,62.0,False,False,1118,4814,29.21,18,biweekly,100,296.89,5444.02,182,13,1,4632.42,9779.55,True,True,N/A,5,827,0,0,False,False,False,N/A,N/A,N/A
C120,49,1171,0,667,monthly,59.0,241.0,False,True,1119,1240,20.76,12,biweekly,100,108.77,1405.24,9,0,7,57.95,701.8,False,False,False,19,653,4076,0,False,False,True,Settlement_plans_with_waive_off,Yes,not kept
C121,58,4710,0,0,biweekly,52.0,230.0,False,False,1120,1221,27.11,15,weekly,100,84.84,1372.6,39,5,9,237.53,846.57,True,False,True,18,427,6484,5183,True,False,True,Refinance,Yes,Partially kept
C122,62,3614,0,0,biweekly,12.0,41.0,False,False,1121,4024,11.55,15,biweekly,100,277.9,4268.5,159,11,4,2841.21,5998.11,True,True,N/A,13,561,0,0,False,False,False,N/A,N/A,N/A
C123,64,4862,0,4983,monthly,71.0,481.0,False,False,1122,478,14.46,9,monthly,50,56.36,557.24,126,4,4,298.62,630.42,True,True,N/A,11,312,0,0,False,False,False,N/A,N/A,N/A
C124,70,1638,0,1163,biweekly,26.0,327.0,False,False,1123,1426,18.05,17,weekly,100,86.53,1571.01,112,16,0,1413.91,2984.92,True,True,True,0,440,627,468,False,False,True,Settlement_plans_with_waive_off,No,Partially kept
C125,25,4624,0,0,monthly,22.0,41.0,False,False,1124,2407,26.98,7,biweekly,100,358.28,2607.96,6,0,1,134.98,2384.66,False,False,False,19,376,2075,0,False,True,False,Extended_payment_plan,No,not kept
C126,53,3436,0,0,biweekly,53.0,208.0,False,False,1125,2142,20.03,12,weekly,100,183.0,2296.0,84,12,0,1928.64,4224.64,True,False,True,10,455,2548,1082,True,False,False,Refinance,Yes,Partially kept
